val,"{'mae': 0.0019047098467126489, 'rmse': 0.002227542921900749}","{'mae': 0.013095708563923836, 'rmse': 0.019591040909290314}"
train,"{'mae': 0.001406705821864307, 'rmse': 0.0017999607371166348}","{'mae': 0.012389282695949078, 'rmse': 0.01801135763525963}"
val,"{'mae': 0.0011973942164331675, 'rmse': 0.0015434446977451444}","{'mae': 0.012209308333694935, 'rmse': 0.01835349202156067}"
train,"{'mae': 0.0013564014807343483, 'rmse': 0.0017551006749272346}","{'mae': 0.01246095634996891, 'rmse': 0.01810108870267868}"
val,"{'mae': 0.0011806190013885498, 'rmse': 0.001522602397017181}","{'mae': 0.013031886890530586, 'rmse': 0.019356489181518555}"
train,"{'mae': 0.0014815013855695724, 'rmse': 0.0018861625576391816}","{'mae': 0.012414257973432541, 'rmse': 0.01802494190633297}"
val,"{'mae': 0.0012992083793506026, 'rmse': 0.0016382697504013777}","{'mae': 0.012324151583015919, 'rmse': 0.01850058324635029}"
train,"{'mae': 0.0016217995434999466, 'rmse': 0.0020142318680882454}","{'mae': 0.012240988202393055, 'rmse': 0.017757609486579895}"
val,"{'mae': 0.0019807852804660797, 'rmse': 0.002358953468501568}","{'mae': 0.012527113780379295, 'rmse': 0.01847660541534424}"
train,"{'mae': 0.0015581106999889016, 'rmse': 0.0019609357696026564}","{'mae': 0.011983634904026985, 'rmse': 0.017348114401102066}"
val,"{'mae': 0.0012582569615915418, 'rmse': 0.0015745959244668484}","{'mae': 0.012304197065532207, 'rmse': 0.018506288528442383}"
train,"{'mae': 0.0015798874665051699, 'rmse': 0.00195702095516026}","{'mae': 0.011982021853327751, 'rmse': 0.01738307997584343}"
val,"{'mae': 0.001205337350256741, 'rmse': 0.0015530564123764634}","{'mae': 0.012478024698793888, 'rmse': 0.018347138538956642}"
train,"{'mae': 0.001557574258185923, 'rmse': 0.0019492050632834435}","{'mae': 0.012107420712709427, 'rmse': 0.017537888139486313}"
val,"{'mae': 0.0012508496874943376, 'rmse': 0.001568949781358242}","{'mae': 0.01199064590036869, 'rmse': 0.01775546371936798}"
train,"{'mae': 0.0018984646303579211, 'rmse': 0.0028095305897295475}","{'mae': 0.01462230458855629, 'rmse': 0.022300925105810165}"
val,"{'mae': 0.0009601869969628751, 'rmse': 0.0012138268211856484}","{'mae': 0.011753583326935768, 'rmse': 0.01868879236280918}"
train,"{'mae': 0.0010907675605267286, 'rmse': 0.0013942982768639922}","{'mae': 0.011029130779206753, 'rmse': 0.016966132447123528}"
val,"{'mae': 0.0019411133835092187, 'rmse': 0.002091366099193692}","{'mae': 0.011364013887941837, 'rmse': 0.018315445631742477}"
train,"{'mae': 0.0017338440520688891, 'rmse': 0.002159525640308857}","{'mae': 0.011038476601243019, 'rmse': 0.017314337193965912}"
val,"{'mae': 0.0008041044929996133, 'rmse': 0.0009450892684981227}","{'mae': 0.012144465930759907, 'rmse': 0.019137931987643242}"
train,"{'mae': 0.0016964732203632593, 'rmse': 0.0020562876015901566}","{'mae': 0.012423297390341759, 'rmse': 0.01984676718711853}"
val,"{'mae': 0.0003742240369319916, 'rmse': 0.0004701223224401474}","{'mae': 0.011925650760531425, 'rmse': 0.018575342372059822}"
train,"{'mae': 0.0009059045114554465, 'rmse': 0.0011304394574835896}","{'mae': 0.010015156120061874, 'rmse': 0.016304509714245796}"
val,"{'mae': 0.0007779519073665142, 'rmse': 0.0008451416506431997}","{'mae': 0.009253295138478279, 'rmse': 0.015803517773747444}"
train,"{'mae': 0.001251013483852148, 'rmse': 0.0015686126425862312}","{'mae': 0.009088302962481976, 'rmse': 0.014871785417199135}"
val,"{'mae': 0.0007745270268060267, 'rmse': 0.0008250995306298137}","{'mae': 0.009713828563690186, 'rmse': 0.016544055193662643}"
train,"{'mae': 0.0010651351185515523, 'rmse': 0.0012943473411723971}","{'mae': 0.009494643658399582, 'rmse': 0.015341971069574356}"
val,"{'mae': 0.0015401464188471437, 'rmse': 0.001565127051435411}","{'mae': 0.009639625437557697, 'rmse': 0.016032615676522255}"
train,"{'mae': 0.0012106685899198055, 'rmse': 0.0014123818837106228}","{'mae': 0.009079936891794205, 'rmse': 0.014961035922169685}"
val,"{'mae': 0.0002468798775225878, 'rmse': 0.0002869950549211353}","{'mae': 0.009460322558879852, 'rmse': 0.01718132011592388}"
train,"{'mae': 0.0008756702882237732, 'rmse': 0.0011072137858718634}","{'mae': 0.009067284874618053, 'rmse': 0.014792507514357567}"
val,"{'mae': 0.0005273615242913365, 'rmse': 0.0005807188572362065}","{'mae': 0.010521838441491127, 'rmse': 0.017574656754732132}"
train,"{'mae': 0.0006475034169852734, 'rmse': 0.000833922706078738}","{'mae': 0.00873538013547659, 'rmse': 0.014357770793139935}"
val,"{'mae': 0.0002128431515302509, 'rmse': 0.00026025008992291987}","{'mae': 0.009731012396514416, 'rmse': 0.01578885316848755}"
train,"{'mae': 0.0009824818698689342, 'rmse': 0.0011527666356414557}","{'mae': 0.008817176334559917, 'rmse': 0.014399830251932144}"
